Question,Types,Description,Difficulty
Insertion Sort,Array; Sorting,Build a sorted prefix by inserting each new value into place.,Easy
LeetCode 1 - Two Sum,LeetCode; Array; Hashing,Find two indices whose values add up to the target.,Easy
LeetCode 118 - Pascal's Triangle,LeetCode; Array; Dynamic Programming; Math,Generate the first numRows of Pascal's triangle.,Easy
LeetCode 125 - Valid Palindrome,LeetCode; String; Two Pointers,Check whether a string is a palindrome after filtering non-alphanumerics.,Easy
LeetCode 1572 - Matrix Diagonal Sum,LeetCode; Matrix; Math,Add the primary and secondary diagonal values of a square matrix.,Easy
LeetCode 167 - Two Sum II - Input Array Is Sorted,LeetCode; Array; Two Pointers,Find two indices in a sorted array whose values sum to the target.,Easy
LeetCode 1678 - Goal Parser Interpretation,LeetCode; String; Simulation,Interpret the Goal Parser command string.,Easy
LeetCode 169 - Majority Element,LeetCode; Array; Math,Return the element that appears more than n/2 times.,Easy
LeetCode 1991 - Find the Middle Index in Array,LeetCode; Array; Prefix Sum,Return an index whose left and right sums are equal.,Easy
LeetCode 202 - Happy Number,LeetCode; Math; Number Theory; Simulation,Repeat square-digit sums to determine whether the sequence reaches 1.,Easy
LeetCode 242 - Valid Anagram,LeetCode; String; Hashing,Check whether two strings are anagrams of each other.,Easy
LeetCode 2529 - Maximum Count of Positive Integer and Negative Integer,LeetCode; Array; Binary Search,Count positive and negative values and return the larger count.,Easy
LeetCode 26 - Remove Duplicates from Sorted Array,LeetCode; Array; Two Pointers,Compress a sorted array in place so each value appears once.,Easy
LeetCode 27 - Remove Element,LeetCode; Array; Two Pointers,Remove all instances of a target value in place.,Easy
LeetCode 283 - Move Zeroes,LeetCode; Array; Two Pointers,Move all zeroes to the end while keeping non-zero order.,Easy
LeetCode 3110 - Score of a String,LeetCode; String,Sum absolute ASCII differences between adjacent characters.,Easy
LeetCode 344 - Reverse String,LeetCode; String; Two Pointers,Reverse a character array in place.,Easy
LeetCode 3658 - GCD of Odd and Even Sums,LeetCode; Math; Number Theory,Compute a gcd value derived from odd and even sums.,Easy
LeetCode 389 - Find the Difference,LeetCode; String; Hashing,Find the extra character added to one string.,Easy
LeetCode 557 - Reverse Words in a String III,LeetCode; String; Two Pointers,Reverse every word in a sentence while preserving word order.,Easy
LeetCode 566 - Reshape the Matrix,LeetCode; Matrix; Simulation,Reshape matrix dimensions without changing element order.,Easy
LeetCode 58 - Length of Last Word,LeetCode; String,Return the length of the final word in a string.,Easy
LeetCode 66 - Plus One,LeetCode; Array; Math; Simulation,Add one to a large integer stored as an array of digits.,Easy
LeetCode 704 - Binary Search,LeetCode; Array; Binary Search,Find a target index in a sorted array with binary search.,Easy
LeetCode 724 - Find Pivot Index,LeetCode; Array; Prefix Sum,Return the index where left sum and right sum are equal.,Easy
LeetCode 88 - Merge Sorted Array,LeetCode; Array; Two Pointers; Sorting,Merge two sorted arrays into the first array in place.,Easy
LeetCode 896 - Monotonic Array,LeetCode; Array,Check whether the array is entirely non-decreasing or non-increasing.,Easy
LeetCode 9 - Palindrome Number,LeetCode; Math; Digit Manipulation,Check whether an integer reads the same forward and backward.,Easy
Lottery Game Part 2,Basic Programming; Conditionals,Use nested conditions to print a reward and its variant.,Easy
Merge Two Sorted Arrays,Array; Two Pointers; Sorting,Merge two sorted arrays into one sorted result.,Easy
Pattern 1 (Lecture 7),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 1 (Lecture 8),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 1 (Lecture 9),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 2 (Lecture 6),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 2 (Lecture 7),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 2 (Lecture 8),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 2 (Lecture 9),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 3 (Lecture 6),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 3 (Lecture 7),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 3 (Lecture 9),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 4 (Lecture 6),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 4 (Lecture 7),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 4 (Lecture 9),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Pattern 5 (Lecture 7),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Prime Number Check (More Optimized),Math; Number Theory,Use tighter divisor bounds for a faster primality test.,Easy
Prime Number Check (Optimized),Math; Number Theory,Check primality with a reduced set of candidate divisors.,Easy
Row Asymmetric Pattern 2,Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Row Symmetric Pattern 1,Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Selection Sort,Array; Sorting,Sort an array by repeatedly choosing the minimum remaining element.,Easy
Wave Print by Column,Matrix; Array,Traverse a matrix column by column in alternating directions.,Easy
Boston Number,Math; Number Theory; Digit Manipulation,Compare digit sum with prime factor digit sums to classify a Boston number.,Medium
Bridge and Torch Crossing,Logical Puzzle; Greedy,Find the minimum total time to move four people across a bridge with one torch.,Medium
Chewbacca Number,Math; Digit Manipulation; Greedy,Transform each digit with 9-digit minimization rules to get the smallest number.,Medium
Chocolate Wrapper Exchange,Logical Puzzle; Math; Simulation,Maximize chocolates when wrappers can be exchanged for free pieces.,Medium
Convert Any Base to Any Base,Math; Base Conversion; Digit Manipulation,Convert a number from one base to another through decimal conversion.,Medium
Extra Border and Diagonals Pattern,Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Medium
Fibonacci Pattern,Pattern; Loops; Math,Print the classroom pattern shown in this lecture exercise.,Medium
Inverse of Number,Math; Digit Manipulation,Invert the position-value relationship of the digits.,Medium
LeetCode 134 - Gas Station,LeetCode; Array; Greedy,Find the start station that allows completing the circular route.,Medium
LeetCode 1492 - The Kth Factor of N,LeetCode; Math; Number Theory,Return the kth smallest factor of n or -1 if it does not exist.,Medium
LeetCode 15 - 3Sum,LeetCode; Array; Two Pointers; Sorting,Find all unique triplets whose sum is zero.,Medium
LeetCode 151 - Reverse Words in a String,LeetCode; String; Two Pointers,Reverse the order of words while trimming extra spaces.,Medium
LeetCode 189 - Rotate Array,LeetCode; Array; Two Pointers,Rotate an array to the right by k positions.,Medium
LeetCode 238 - Product of Array Except Self,LeetCode; Array,Build the product for each index without using the value at that index.,Medium
LeetCode 31 - Next Permutation,LeetCode; Array; Two Pointers; Greedy,Rearrange numbers into the next lexicographically greater permutation.,Medium
LeetCode 48 - Rotate Image,LeetCode; Matrix,Rotate an n x n matrix by 90 degrees in place.,Medium
LeetCode 498 - Diagonal Traverse,LeetCode; Matrix; Simulation,Traverse a matrix diagonally in alternating directions.,Medium
LeetCode 53 - Maximum Subarray,LeetCode; Array; Dynamic Programming,Find the contiguous subarray with the maximum sum.,Medium
LeetCode 54 - Spiral Matrix,LeetCode; Matrix; Simulation,Return all matrix elements in spiral order.,Medium
LeetCode 59 - Spiral Matrix II,LeetCode; Matrix; Simulation,Generate an n x n matrix filled in spiral order.,Medium
LeetCode 7 - Reverse Integer,LeetCode; Math; Digit Manipulation,Reverse the digits of a signed integer with overflow handling.,Medium
LeetCode 73 - Set Matrix Zeroes,LeetCode; Matrix,Zero out matrix rows and columns that contain a zero.,Medium
LeetCode 74 - Search a 2D Matrix,LeetCode; Matrix; Binary Search,Search a sorted 2D matrix for a target value.,Medium
LeetCode 75 - Sort Colors,LeetCode; Array; Two Pointers; Sorting,"Sort an array of 0s, 1s, and 2s in one pass.",Medium
LeetCode 80 - Remove Duplicates from Sorted Array II,LeetCode; Array; Two Pointers,Keep at most two occurrences of each value in a sorted array.,Medium
LeetCode 877 - Stone Game,LeetCode; Array; Game Theory; Dynamic Programming,Determine whether the first player can win the stone-picking game.,Medium
Matrix Multiplication,Matrix; Math,Combine two matrices to produce a result matrix.,Medium
Measure 9 Minutes with 4 and 7 Minute Hourglasses,Logical Puzzle; Simulation,Use two hourglasses to measure exactly nine minutes.,Medium
Minimum Cuts for a 7-Unit Gold Bar,Logical Puzzle; Greedy; Math,Split a gold bar with the fewest cuts so daily payments can be made exactly.,Medium
Number Diamond Mirror Pattern,Pattern; Loops; Math,Print the classroom pattern shown in this lecture exercise.,Medium
Pascal Triangle Pattern,Pattern; Loops; Math,Print the classroom pattern shown in this lecture exercise.,Medium
Pattern 4 (Lecture 14),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Medium
Pattern 5 (Lecture 9),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Medium
Pattern 6 (Lecture 9),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Medium
Spiral Print,Matrix; Array; Simulation,Print a matrix in spiral order.,Medium
Swastik Pattern,Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Medium
Camel and Bananas,Logical Puzzle; Greedy; Math,Maximize bananas delivered when the camel consumes bananas while traveling.,Hard
LeetCode 4 - Median of Two Sorted Arrays,LeetCode; Array; Binary Search,Find the median of two sorted arrays in logarithmic-style search.,Hard
LeetCode 42 - Trapping Rain Water,LeetCode; Array; Two Pointers,Compute how much water can be trapped between elevation bars.,Hard
